Label,F1_mid,F2_mid,F3_mid,Word,PrevSeg,NextSeg,English,WordClass,Duration,F1_1,F2_1,F3_1,F1_2,F2_2,F3_2,F1_3,F2_3,F3_3,F1_4,F2_4,F3_4,F1_5,F2_5,F3_5,F1_6,F2_6,F3_6,F1_7,F2_7,F3_7,F1_8,F2_8,F3_8,F1_9,F2_9,F3_9,F1_10,F2_10,F3_10,F1_1_smoothed,F1_2_smoothed,F1_3_smoothed,F1_4_smoothed,F1_5_smoothed,F1_6_smoothed,F1_7_smoothed,F1_8_smoothed,F1_9_smoothed,F1_10_smoothed,F2_1_smoothed,F2_2_smoothed,F2_3_smoothed,F2_4_smoothed,F2_5_smoothed,F2_6_smoothed,F2_7_smoothed,F2_8_smoothed,F2_9_smoothed,F2_10_smoothed,F3_1_smoothed,F3_2_smoothed,F3_3_smoothed,F3_4_smoothed,F3_5_smoothed,F3_6_smoothed,F3_7_smoothed,F3_8_smoothed,F3_9_smoothed,F3_10_smoothed
_o_,432.2589853694658,810.5717243546159,2669.3285794979147,poq2,p,q,abdomen,,0.145618771443439,431.128224498548,926.300738861791,2590.04430391004,433.718523844105,933.033053566275,2723.33673085743,436.401639637663,928.323695785057,,432.520779807354,895.394403125383,2784.3033147598,434.34814508395,849.71022412545,2761.448772739,433.394970294168,783.273474503827,2622.54390071685,432.730707620368,744.741301624226,,430.762633288094,719.877569009516,2707.57612586217,421.229128405215,682.477396569974,2603.21838327309,436.355101215191,642.585386374658,2562.15710386494,433.036703424365,433.301185788925,433.674159382674,433.908605883914,433.771066967933,433.144904143349,432.091410590166,430.843811356257,429.734739214859,429.083266942216,940.356697717868,931.728561806487,913.759932154004,885.690521767597,847.748778448961,802.091764501307,753.188706560953,707.383516555228,671.679107283426,652.089656750329,,,,,,,,,,
e_,404.7068399934743,1918.4918217608636,2374.2612684082296,ˈeɹe2,ɹ,,agree v.,v,0.130062348454696,407.155227510794,1968.12161617751,,408.094174197356,1951.558365549,2249.06028656185,409.037276798744,1948.99645746981,,410.89059736216,1943.63849554206,,411.323248156684,1938.3812572178,,409.6254349911,1916.87453980712,,406.532023670953,1892.59171604181,,399.897339399979,1891.37673424872,,392.227866869958,1887.21040065733,2499.46225025461,392.285210977014,1846.16863489745,,406.31788169843,407.808630182218,410.014551014459,411.700916110968,411.683855122934,409.335386811648,404.885395618161,399.39912897249,394.43241806255,391.490236340885,1959.77515129926,1957.75865937331,1953.14973235602,1945.14824757381,1933.28616954448,1917.95130966867,1900.64475087527,1883.83391116571,1870.41562922106,1862.95465653104,,,,,,,,,,
_e_,353.15893198712695,2158.55484093658,,ke1,k,,arm,,0.29881412967756,359.452838104551,2127.60169235919,,358.30659709664,2226.06778276586,,359.168178738434,2121.01488316536,,360.615513325549,2245.45439438539,,354.352570082564,2087.35225724845,,350.761765344483,2109.10054858687,,352.358065454649,2106.15134270117,,346.969290826782,2154.63897384275,,346.653018865214,2129.04756835098,,342.951482032403,2279.11896595978,,359.598755751467,359.362181147293,358.76177121225,357.612916336575,355.784692522537,353.305640757773,350.418427901587,347.556092762004,345.242202563052,343.946638916731,2191.62348337497,2177.46928016928,2154.71639050232,2132.33923510791,2119.27545523142,2120.97382938436,2137.26810887137,2162.39329137084,2187.14273959776,2202.34659575557,,,,,,,,,,
_ə,450.1861528222782,1339.036612597305,,ˈəke2,,k,ascend,,0.0575008906115068,533.683119050861,1297.93971122627,,533.702187330367,1298.64012713407,,533.721255609873,1299.34054304187,,509.770607403883,1301.18719125684,,460.793472088012,1304.23060657072,,411.816336772137,1307.2740218846,,394.077930341994,1330.47691109548,,380.57675304744,1356.41423647588,,371.138785292228,1400.70783120487,,372.581081285987,1494.15494608244,,549.709599366904,538.206518244328,516.999012382919,489.251398315149,458.768183932342,429.205933304117,403.458405494278,383.373293261638,369.828289235358,363.060894685749,1312.3327517051,1303.51641400358,1291.11272836729,1283.40016642477,1288.19799993242,1309.40256872355,1344.93822186397,1386.96049682732,1424.29164809691,1446.21313002814,,,,,,,,,,
e_,379.4765798025021,2061.9552192209258,,ˈəke2,k,,ascend,,0.119361015986904,387.385570396086,2068.67838511899,,373.400327570668,2180.88730810125,,364.311890211658,2171.17988823335,,363.683308606,2131.96518497571,,370.751117581455,2119.05651515722,,380.779230883306,2162.30758382787,,385.642541745512,2017.55317833189,,388.61958887425,1966.78809817104,,390.102849256866,1924.50134968658,,390.08937289922,1876.63470060536,,376.613281123204,375.109972009801,372.931778429114,371.394235607167,371.750167410041,374.646003028878,379.798277896833,386.02138117589,391.603833696208,394.896867647885,2116.29724444754,2129.64926196671,2147.91447077432,2157.76538912656,2146.69818465521,2108.66435471668,2047.38691558264,1975.99596766753,1913.01931020779,1876.16109306428,,,,,,,,,,
_a,617.7971794199314,1599.29320891148,,ˈanje2,,n,bake v.,v,0.0559762006007553,681.482523560659,1528.25572714178,,703.923094068562,1557.26722363577,,665.777063936483,1565.3729128969,,621.348525260293,1571.31078103629,,587.714554203546,1581.18618425285,,590.978389344244,1604.52080244632,,594.242224484943,1627.85542063979,,589.282378619356,1643.3661281167,,577.501806446862,1652.38767902169,,565.721234274367,1661.40922992668,,695.40297762674,682.194625845747,659.214347664235,632.179868484591,607.205767150178,588.880182584558,578.996950686868,576.380011175628,577.81727266252,579.699790318249,1541.77485941912,1546.86862295321,1556.76247442868,1570.81953052437,1587.99538444417,1606.81368140753,1625.43235539288,1641.82394339428,1654.05232677546,1660.5889103751,,,,,,,,,,
j,375.62136630579823,1733.957564035103,2606.445011639175,ˈanje2,n,e_,bake v.,v,0.197397882894291,410.58574139969,1478.69951227187,,389.805185408949,898.88225506562,2479.99168838639,375.422917925151,1569.08629808713,,359.692206225059,1168.09957160552,2732.89833489196,377.220349086594,1913.18590962177,,370.617435965204,2021.60623891661,,365.905771723515,2073.7125125852,,369.571936963207,2052.39357840822,,372.016029455932,2072.11302865419,,365.376088904679,2091.7967351349,,397.174689441625,392.469108255109,384.51006517402,375.680934316503,368.450260054517,364.517335383591,364.267142372811,366.732667437576,370.06828027877,372.34318034346,1159.58718989335,1243.13328255488,1391.6110444009,1573.60006885717,1754.39963347847,1905.87546734757,2013.20006045115,2076.30408366931,2105.89684427721,2115.96796542102,,,,,,,,,,
e_,383.4743876738768,2136.635669897394,,ˈanje2,j,,bake v.,v,0.141752038392637,362.622793027399,2155.8590699229,,364.579328572544,2141.8233362317,,364.232490805956,2146.96011821182,,364.238147386247,2104.48868099407,,364.892934551842,2105.43768794885,,374.987547137998,2157.15183941157,,386.677550655069,2138.62708820302,,394.293954234542,2166.86866126068,,412.416909642949,2119.13428843649,,445.802220724223,2130.00592835284,,367.618257302229,364.819492040242,361.157810063043,359.680630191131,363.22153695862,373.095807642947,388.336879831441,405.790965284711,421.060548632693,429.961948791711,2144.43813049917,2141.91156073659,2137.77907318007,2133.53466134368,2130.68327466983,2130.17736046957,2132.06644114974,2135.49226661472,2139.03001635957,2141.243913951,,,,,,,,,,
e,351.75080061603046,2011.0,2132.11956070268,ˈt͡ʃ̺eɹwe2,t͡ʃ̺,ɹ,barter,,0.116745267305983,349.104889249971,1911.90367778924,,343.383798548036,1923.03708607942,,341.974565578951,1935.08106108037,,345.353433348795,1934.23277662951,,352.561364854051,1919.57227544609,,357.299562315578,1958.35355582235,,352.717161226519,1448.21897557269,2132.11956070268,354.102724782174,1532.10262807279,2132.11956070268,360.296528106637,2036.82379983683,,360.713978149592,1998.86712968153,,344.627752335299,345.148996682414,346.20769189855,347.808985217062,349.904910588542,352.357533784784,354.926774958908,357.293909333511,359.118445605738,360.113005755497,1991.99849073858,1959.03286137605,1903.97814484247,1844.60085257023,1799.0906198222,1779.5519419726,1787.89740094334,1815.6604483597,1847.74607151471,1868.63613387095,,,,,,,,,,
w,367.5360047415343,1165.342067921046,2528.7211331589046,ˈt͡ʃ̺eɹwe2,ɹ,_e_,barter,,0.0498247894914225,353.680949560061,1102.81309923499,2701.69792091413,350.768867544342,1112.12677851362,2791.93972484569,351.596841932681,1113.17266895551,2651.17796961663,353.054412777795,1112.82677007805,2471.5293617208,354.511983622909,1112.48087120058,2291.88075382491,363.410090082711,1141.82208798742,2264.10106803127,373.66921062394,1176.59363728638,,383.928331165166,1211.36518658534,,391.718724001682,1259.63778295418,,399.020636104056,1310.58179641441,,352.896861935757,352.04183139793,351.289409422041,352.127317392711,355.887604118907,363.076129289787,372.989229976228,383.782600061027,392.985640199269,398.283423621686,1116.48768434079,1110.47876354051,1103.1709611904,1101.94889993867,1113.60148769292,1141.10993219135,1181.78151522385,1227.51317465169,1267.15909298116,1290.16916745912,,,,,,,,,,
