Word_Type,Word,English,Word_Start_Time_s,Word_End_Time_s,Duration_s,Minor_Syllable_End_Time_s,F0_P1,F0_P2,F0_P3,F0_P4,F0_P5,F0_P6,F0_P7,F0_P8,F0_P9,F0_P10,F0_P11,F0_P12,F0_P13,F0_P14,F0_P15,F0_P16,F0_P17,F0_P18,F0_P19,F0_P20,F0_P21,F0_P22,F0_P23,F0_P24,F0_P25,F0_P26,F0_P27,F0_P28,F0_P29,F0_P30
Monosyllabic,poq2,abdomen,0.0,0.54,0.54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.72,118.76,116.87,114.84,112.97,109.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.01,0.0,0.0,0.0
Monosyllabic,ke1,arm,1.217,1.7141,0.4971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.37,125.24,122.52,121.55,120.1,119.12,119.27,118.62,118.3,118.93,119.52,121.36,123.63,126.58,0.0,0.0,0.0,0.0
Sesquisyllabic,ˈəke2,ascend,1.855,2.1718,0.3168,1.9125,0.0,0.0,155.2,151.67,149.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.86,150.44,145.11,141.7,137.78,135.32,134.68,133.62,132.58,131.55,130.05,128.36
Sesquisyllabic,ˈanje2,bake v.,2.3608,2.9725,0.6116,2.4168,0.0,0.0,141.02,138.23,134.65,133.13,131.35,131.69,130.44,130.09,130.51,129.82,129.03,129.8,129.01,128.68,125.15,123.77,122.83,122.93,122.2,122.08,121.48,120.36,119.15,117.62,0.0,0.0,0.0,0.0
Monosyllabic,ˈt͡ʃ̺iɹwe2,barter,3.7588,4.1342,0.3754,,0.0,0.0,0.0,0.0,0.0,171.12,163.41,160.68,160.32,158.09,155.63,153.36,151.38,149.23,144.22,141.02,134.67,134.1,134.61,136.09,138.52,143.57,148.35,149.31,147.64,146.1,144.46,142.47,140.03,136.45
Sesquisyllabic,ˈətʰəj2,be awake,4.2848,4.959,0.6742,4.3375,0.0,178.34,169.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.25,128.0,126.75,121.18,118.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sesquisyllabic,ˈədaj2,be big,5.0715,5.5514,0.4799,5.1415,0.0,0.0,161.27,160.8,164.01,132.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.93,146.92,140.34,138.61,137.32,135.93,134.53,133.03,131.56,128.56,127.82,128.25,125.84,124.15,121.94
Sesquisyllabic,ˈəke2,be bitter,5.684,6.0651,0.3811,5.758,0.0,0.0,156.36,150.82,147.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.76,128.54,125.6,122.49,121.28,121.91,119.84,118.03,117.22,115.76
Sesquisyllabic,ˈəpɹje2,be easy,6.193,6.8685,0.6755,6.2693,0.0,0.0,156.19,143.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.13,120.79,117.25,114.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sesquisyllabic,ˈət͡səj2,be fat,7.0724,7.5885,0.5161,7.1341,0.0,0.0,151.47,145.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.52,132.09,129.04,126.68,122.43,121.31,119.87,119.72,119.82,119.23,118.56
Sesquisyllabic,anjə1,be fresh,7.714,8.1974,0.4834,7.8573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.14,143.77,135.66,135.4,133.41,129.89,127.17,125.26,122.85,123.14,122.54,121.39,121.19,123.04,127.4,129.7,130.81,131.08,131.54,133.11,134.71,135.74,135.71
Sesquisyllabic,ˈət͡ʃ̺e2,"be hard, strong",8.389,8.8122,0.4231,8.4607,0.0,190.85,178.73,165.71,156.26,124.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.48,159.7,150.44,146.53,143.6,141.97,140.74,140.96,139.08,134.83
Sesquisyllabic,əˈt͡ʃ̺əj2,be high,9.738,10.308,0.57,9.8098,0.0,0.0,167.22,159.19,146.96,141.49,131.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.95,145.7,143.01,140.9,137.49,135.36,133.03,130.31,130.61,132.22,137.48,144.51,141.02,0.0,0.0
Sesquisyllabic,ˈət͡ʃ̺əj2,be hot,10.408,10.904,0.496,10.4687,0.0,0.0,0.0,135.11,139.63,126.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.15,121.57,116.7,111.66,110.4,109.64,114.27,120.29,125.76,123.41,121.01,120.08,0.0
Sesquisyllabic,ˈəɹe2,be in motion,11.004,11.3897,0.3857,11.1059,0.0,0.0,162.42,161.74,157.73,154.97,150.46,144.3,138.74,136.88,133.76,130.75,126.96,124.4,124.0,120.91,120.59,120.67,122.09,122.92,122.81,120.16,117.67,115.59,114.86,114.45,114.7,115.89,116.53,117.16
Sesquisyllabic,ˈət͡ʃ̺wəj2,be like smth,11.5122,12.035,0.5228,11.573,0.0,188.04,175.5,163.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.03,130.14,128.71,125.25,123.64,121.14,117.83,116.8,115.32,114.19
Sesquisyllabic,ˈədaj2,be old age,12.143,12.728,0.585,12.237,0.0,0.0,159.19,152.92,144.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.61,119.53,119.01,117.82,116.64,115.65,115.54,114.19,111.51,110.91,112.9,119.35,0.0,0.0,0.0,0.0
Sesquisyllabic,əˈtʰɛ̃1,be slightly steep,12.828,13.2942,0.4662,12.9015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.39,162.89,162.27,161.87,163.33,165.07,163.72,159.18,151.44,143.43
